trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.990025}",25,9,-21.67035690587557,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 0}",1
2,False,"{'a': 0.05, 'e': 0.985074875}",20,0,-153.59578164827627,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.05, 'e': 0.980149500625}",25,0,-129.17614501443543,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.05, 'e': 0.975248753121875}",30,0,-122.19428227946614,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.05, 'e': 0.9703725093562656}",25,0,-177.0644893555876,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
6,False,"{'a': 0.05, 'e': 0.9655206468094842}",25,0,-117.54172035244184,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.05, 'e': 0.9606930435754368}",20,3,-56.39414354986419,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 0}",1
8,False,"{'a': 0.05, 'e': 0.9558895783575596}",25,0,-207.28398831108552,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
9,False,"{'a': 0.05, 'e': 0.9511101304657719}",20,0,-46.7118837455955,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.05, 'e': 0.946354579813443}",20,0,-62.46783832369238,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
11,False,"{'a': 0.05, 'e': 0.9416228069143757}",25,12,-117.60720013170483,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 2}",1
12,False,"{'a': 0.05, 'e': 0.9369146928798039}",20,0,-105.71545636483245,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.05, 'e': 0.9322301194154049}",20,5,-58.110169499036594,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
14,False,"{'a': 0.05, 'e': 0.9275689688183278}",20,13,-40.64243675945464,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.05, 'e': 0.9229311239742362}",30,0,-154.9035870545351,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.05, 'e': 0.918316468354365}",30,0,-225.89145768448,"{0: 19, 1: 0, 2: 5, 3: 2, 4: 4}",0
17,False,"{'a': 0.05, 'e': 0.9137248860125932}",20,0,-154.43844394237507,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.05, 'e': 0.9091562615825302}",20,0,-144.75017797368744,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
19,False,"{'a': 0.05, 'e': 0.9046104802746175}",30,0,-204.35152098188198,"{0: 14, 1: 3, 2: 10, 3: 1, 4: 2}",0
20,False,"{'a': 0.05, 'e': 0.9000874278732445}",20,0,-61.995013796026356,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.05, 'e': 0.8955869907338783}",20,0,-81.84516292923387,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
