trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.9801}",20,0,-26.49111191847887,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.05, 'e': 0.970299}",20,0,-156.47477666234218,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
3,False,"{'a': 0.05, 'e': 0.96059601}",25,0,-110.98746116933246,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.05, 'e': 0.9509900498999999}",25,0,-84.38492846165909,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.05, 'e': 0.941480149401}",20,0,-26.666057767768827,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.05, 'e': 0.9320653479069899}",25,0,-83.42309240749046,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",1
7,False,"{'a': 0.05, 'e': 0.9227446944279201}",20,0,-53.85371399792027,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.05, 'e': 0.9135172474836408}",25,13,-31.21864333495255,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
9,False,"{'a': 0.05, 'e': 0.9043820750088044}",35,0,-144.88598624899913,"{0: 26, 1: 2, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.05, 'e': 0.8953382542587164}",25,0,-90.15143714093699,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
11,False,"{'a': 0.05, 'e': 0.8863848717161292}",30,0,-136.0007035587727,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.05, 'e': 0.8775210229989678}",20,0,-94.13363587168425,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.05, 'e': 0.8687458127689782}",20,9,-140.26955107942746,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 3}",1
