trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.99999118001296539}",25,0,-129.39423720857738,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.05, 'e': 0.9999801550656372}",25,0,-92.11641354534416,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.05, 'e': 0.99996472020744587}",30,0,-132.4318703167227,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.05, 'e': 0.99994487550645905}",25,0,-70.09554778585044,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.05, 'e': 0.99992062105019186}",30,0,-148.15979568634333,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.05, 'e': 0.99989195694560629}",25,0,-127.0494699543342,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.05, 'e': 0.99985888331911121}",25,0,-252.21990411885292,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 5}",0
8,False,"{'a': 0.05, 'e': 0.99982140031656108}",20,0,-125.74066589302286,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.05, 'e': 0.99977950810325589}",30,0,-200.99302733263505,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 4}",0
10,False,"{'a': 0.05, 'e': 0.99973320686394029}",30,0,-131.9403330462464,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.05, 'e': 0.99968249680280274}",20,0,-71.23066756563595,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
12,False,"{'a': 0.05, 'e': 0.99962737814347435}",25,0,-146.87985592844194,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.05, 'e': 0.99956785112902846}",25,0,-98.1600501856329,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.05, 'e': 0.99950391602197908}",30,0,-102.8921101920719,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.05, 'e': 0.99943557310428}",20,0,-44.30051713033847,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.05, 'e': 0.99936282267732313}",25,14,1.5424910099175715,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.05, 'e': 0.99928566506193794}",20,0,-67.84787636181471,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.05, 'e': 0.99920410059838938}",20,0,-81.2729262333719,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
