trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-13.67008227238186,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.77508266504796,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.89227612601593,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.81392054341875,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.82758770956558,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.04282526126158,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.87755743413703,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,5,-298.5760051443752,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 6}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.52091508976946,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-191.52333713872835,"{0: 17, 1: 5, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.68205637418025,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-48.28330554244724,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,2,-126.00036536985841,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.15675365444423,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-68.16744378173343,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-174.644683515917,"{0: 20, 1: 2, 2: 3, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-211.83095576436634,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.80211263141456,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,0,-280.85185799131455,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 5}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.06742034053593,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.6404037610655,"{0: 11, 1: 4, 2: 9, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,5,-129.27318960878517,"{0: 18, 1: 3, 2: 0, 3: 1, 4: 3}",1
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-23.025038065363297,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.2347743786093,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-43.84715303000256,"{0: 16, 1: 1, 2: 0, 3: 3, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.89101992052863,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-109.09373858322766,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-87.97005258972733,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-273.7302858614036,"{0: 18, 1: 2, 2: 7, 3: 5, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-120.63616803314663,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
